Instance Type,Instance @ Idle,Instance @ 100%,Total Embodied Emissions,Instance vCPU,Platform Total Number of vCPU
cache.m6g.16xlarge,98.6,336.4,1333.12,64,64
cache.m6g.2xlarge,12.3,42.0,1333.12,8,64
cache.m6g.4xlarge,24.7,84.1,1333.12,16,64
cache.m6g.8xlarge,49.3,168.2,1333.12,32,64
cache.m6g.large,3.1,10.5,1333.12,2,64
cache.m6g.xlarge,6.2,21.0,1333.12,4,64
cache.r3.2xlarge,26.9,90.4,1516.47,8,40
cache.r4.16xlarge,164.0,545.7,1755.15,64,72
cache.r4.2xlarge,20.4,68.0,1755.15,8,72
cache.r4.4xlarge,40.9,136.2,1755.15,16,72
cache.r4.8xlarge,82.0,272.7,1755.15,32,72
cache.r4.large,5.0,16.8,1755.15,2,72
cache.r4.xlarge,10.2,33.9,1755.15,4,72
cache.r5.12xlarge,124.8,604.6,2143.79,48,96
cache.r5.24xlarge,249.6,1209.3,2143.79,96,96
cache.r5.2xlarge,20.8,100.6,2143.79,8,96
cache.r5.4xlarge,41.6,201.4,2143.79,16,96
cache.r5.large,5.2,25.0,2143.79,2,96
cache.r5.xlarge,10.4,50.2,2143.79,4,96
cache.r6g.12xlarge,112.4,367.5,1688.46,48,64
cache.r6g.16xlarge,149.8,490.0,1688.46,64,64
cache.r6g.2xlarge,18.7,61.2,1688.46,8,64
cache.r6g.4xlarge,37.5,122.5,1688.46,16,64
cache.r6g.8xlarge,74.9,245.0,1688.46,32,64
cache.r6g.large,4.7,15.3,1688.46,2,64
cache.r6g.xlarge,9.4,30.6,1688.46,4,64
cache.t2.medium,3.9,13.6,1477.54,2,48
cache.t2.micro,1.7,6.2,1477.54,1,48
cache.t2.small,1.9,6.8,1477.54,1,48
cache.t3.medium,3.7,15.0,1610.79,2,96
cache.t3.micro,3.3,12.5,1610.79,2,96
cache.t3.small,3.4,13.3,1610.79,2,96
cc2.8xlarge,85.8,305.3,1561.77,32,32
cr1.8xlarge,122.5,415.4,1616.47,32,32
d2.2xlarge,25.0,83.4,2616.47,8,48
d2.4xlarge,50.0,166.8,2616.47,16,48
d2.8xlarge,106.5,356.9,2616.47,36,48
d2.xlarge,12.5,41.7,2616.47,4,48
d3.2xlarge,21.5,86.6,2633.12,8,96
d3.4xlarge,43.0,173.2,2633.12,16,96
d3.8xlarge,86.0,346.4,2633.12,32,96
d3.xlarge,10.8,43.3,2633.12,4,96
d3en.12xlarge,99.2,392.2,2544.29,48,96
d3en.2xlarge,16.5,65.4,2544.29,8,96
d3en.4xlarge,33.1,130.7,2544.29,16,96
d3en.6xlarge,49.6,196.1,2544.29,24,96
d3en.8xlarge,66.1,261.4,2544.29,32,96
d3en.xlarge,8.3,32.7,2544.29,4,96
db.m1.large,5.3,18.4,1244.35,2,32
db.m1.medium,2.7,9.2,1244.35,1,32
db.m1.small,2.2,8.0,1244.35,1,32
db.m1.xlarge,10.6,36.8,1244.35,4,32
db.m2.2xlarge,16.1,54.1,1466.44,4,32
db.m2.4xlarge,32.1,108.3,1466.44,8,32
db.m2.xlarge,8.0,27.1,1466.44,2,32
db.m3.2xlarge,24.4,85.2,1410.92,8,32
db.m3.large,6.1,21.3,1410.92,2,32
db.m3.medium,3.1,10.7,1410.92,1,32
db.m3.xlarge,12.2,42.6,1410.92,4,32
db.m4.10xlarge,96.1,329.9,1433.12,40,48
db.m4.16xlarge,133.8,455.1,1433.12,64,72
db.m4.2xlarge,16.7,56.9,1433.12,8,72
db.m4.4xlarge,33.5,113.8,1433.12,16,72
db.m4.large,4.2,14.2,1433.12,2,72
db.m4.xlarge,8.4,28.4,1433.12,4,72
db.m5.12xlarge,99.2,392.2,1610.79,48,96
db.m5.16xlarge,132.3,522.9,1610.79,64,96
db.m5.24xlarge,198.4,784.3,1610.79,96,96
db.m5.2xlarge,16.5,65.4,1610.79,8,96
db.m5.4xlarge,33.1,130.7,1610.79,16,96
db.m5.8xlarge,66.1,261.4,1610.79,32,96
db.m5.large,4.1,16.3,1610.79,2,96
db.m5.xlarge,8.3,32.7,1610.79,4,96
db.m6g.12xlarge,74.0,252.3,1333.12,48,64
db.m6g.16xlarge,98.6,336.4,1333.12,64,64
db.m6g.2xlarge,12.3,42.0,1333.12,8,64
db.m6g.4xlarge,24.7,84.1,1333.12,16,64
db.m6g.8xlarge,49.3,168.2,1333.12,32,64
db.m6g.large,3.1,10.5,1333.12,2,64
db.m6g.xlarge,6.2,21.0,1333.12,4,64
db.r3.2xlarge,26.9,90.4,1416.47,8,40
db.r3.4xlarge,53.9,180.8,1416.47,16,40
db.r3.8xlarge,107.8,361.6,1416.47,32,40
db.r3.large,6.7,22.6,1416.47,2,40
db.r3.xlarge,13.5,45.2,1416.47,4,40
db.r4.16xlarge,180.2,594.3,1755.15,64,72
db.r4.2xlarge,22.5,74.3,1755.15,8,72
db.r4.4xlarge,45.1,148.6,1755.15,16,72
db.r4.8xlarge,90.1,297.1,1755.15,32,72
db.r4.large,5.6,18.6,1755.15,2,72
db.r4.xlarge,11.3,37.1,1755.15,4,72
db.r5.12xlarge,134.8,670.8,2143.79,48,96
db.r5.16xlarge,179.7,894.4,2143.79,64,96
db.r5.24xlarge,269.5,1341.6,2143.79,96,96
db.r5.2xlarge,22.5,111.8,2143.79,8,96
db.r5.4xlarge,44.9,223.6,2143.79,16,96
db.r5.8xlarge,89.8,447.2,2143.79,32,96
db.r5.large,5.6,27.9,2143.79,2,96
db.r5.xlarge,11.2,55.9,2143.79,4,96
db.r6g.12xlarge,112.4,367.5,1688.46,48,64
db.r6g.16xlarge,149.8,490.0,1688.46,64,64
db.r6g.2xlarge,18.7,61.2,1688.46,8,64
db.r6g.4xlarge,37.5,122.5,1688.46,16,64
db.r6g.large,4.7,15.3,1688.46,2,64
db.r6g.xlarge,9.4,30.6,1688.46,4,64
db.t2.2xlarge,19.2,66.0,1477.54,8,48
db.t2.large,4.8,16.5,1477.54,2,48
db.t2.medium,4.0,14.1,1477.54,2,48
db.t2.micro,1.8,6.4,1477.54,1,48
db.t2.small,2.0,7.0,1477.54,1,48
db.t2.xlarge,9.6,33.0,1477.54,4,48
db.t3.2xlarge,17.6,79.8,1610.79,8,96
db.t3.large,4.4,20.0,1610.79,2,96
db.t3.medium,3.8,16.0,1610.79,2,96
db.t3.micro,3.4,13.0,1610.79,2,96
db.t3.small,3.5,14.0,1610.79,2,96
db.t3.xlarge,8.8,39.9,1610.79,4,96
db.x1.16xlarge,291.4,936.4,3987.21,64,128
db.x1.32xlarge,582.8,1872.9,3987.21,128,128
db.x1e.16xlarge,486.6,1522.0,6696.62,64,128
db.x1e.2xlarge,60.8,190.3,6696.62,8,128
db.x1e.32xlarge,973.2,3044.1,6696.62,128,128
db.x1e.4xlarge,121.6,380.5,6696.62,16,128
db.x1e.8xlarge,243.3,761.0,6696.62,32,128
db.x1e.xlarge,30.4,95.1,6696.62,4,128
db.z1d.12xlarge,194.0,793.0,1610.79,48,48
db.z1d.2xlarge,32.3,132.2,1610.79,8,48
db.z1d.3xlarge,48.5,198.3,1610.79,12,48
db.z1d.6xlarge,97.0,396.5,1610.79,24,48
db.z1d.large,8.1,33.0,1610.79,2,48
db.z1d.xlarge,16.2,66.1,1610.79,4,48
dc2.8xlarge,107.8,361.6,1816.47,32,40
dc2.large,6.7,22.4,1816.47,2,40
ds2.8xlarge,106.5,356.9,1816.47,36,48
ds2.xlarge,12.6,42.0,1816.47,4,48
f1.16xlarge,277.8,887.1,2832.5,64,72
f1.2xlarge,34.7,110.9,2832.5,8,72
f1.4xlarge,69.5,221.8,2832.5,16,72
g2.2xlarge,47.6,305.4,1961.07,8,32
g2.8xlarge,190.3,1221.7,1961.07,32,32
g3.16xlarge,319.6,1816.5,2355.15,64,72
g3.4xlarge,79.9,454.1,2355.15,16,72
g3.8xlarge,159.8,908.3,2355.15,32,72
g3s.xlarge,46.1,342.7,2355.15,4,72
g4ad.16xlarge,214.7,1297.8,2310.79,64,96
g4ad.4xlarge,53.7,324.4,2310.79,16,96
g4ad.8xlarge,107.4,648.9,2310.79,32,96
g4dn.12xlarge,131.7,677.4,3010.79,48,96
g4dn.16xlarge,140.4,594.2,3010.79,64,96
g4dn.2xlarge,24.7,136.7,3010.79,8,96
g4dn.4xlarge,41.2,202.0,3010.79,16,96
g4dn.8xlarge,74.3,332.7,3010.79,32,96
g4dn.metal,263.5,1354.7,3010.79,96,96
g4dn.xlarge,16.4,104.0,3010.79,4,96
h1.16xlarge,133.8,455.1,2633.12,64,72
h1.2xlarge,16.7,56.9,2633.12,8,72
h1.4xlarge,33.5,113.8,2633.12,16,72
h1.8xlarge,66.9,227.5,2633.12,32,72
hs1.8xlarge,60.3,204.7,2616.47,16,32
i2.2xlarge,26.9,90.4,2216.47,8,40
i2.2xlarge.elasticsearch,26.9,90.4,1616.47,8,40
i2.4xlarge,53.9,180.8,2216.47,16,40
i2.8xlarge,107.8,361.6,2216.47,32,40
i2.xlarge,13.5,45.2,2216.47,4,40
i2.xlarge.elasticsearch,13.5,45.2,1616.47,4,40
i3.16xlarge,180.2,594.3,2588.46,64,72
i3.16xlarge.elasticsearch,180.2,594.3,2588.46,64,72
i3.2xlarge,22.5,74.3,2588.46,8,72
i3.2xlarge.elasticsearch,22.5,74.3,2588.46,8,72
i3.4xlarge,45.1,148.6,2588.46,16,72
