Instance Type,Instance @ Idle,Instance @ 100%,Total Embodied Emissions,Instance vCPU,Platform Total Number of vCPU
r5d.8xlarge,86.0,346.4,2543.79,32,96
r5d.large,5.4,21.7,2543.79,2,96
r5d.metal,258.1,1039.3,2543.79,96,96
r5d.xlarge,10.8,43.3,2543.79,4,96
r5dn.12xlarge,129.1,519.6,2543.79,48,96
r5dn.16xlarge,172.1,692.9,2543.79,64,96
r5dn.24xlarge,258.1,1039.3,2543.79,96,96
r5dn.2xlarge,21.5,86.6,2543.79,8,96
r5dn.4xlarge,43.0,173.2,2543.79,16,96
r5dn.8xlarge,86.0,346.4,2543.79,32,96
r5dn.large,5.4,21.7,2543.79,2,96
r5dn.metal,258.1,1039.3,2543.79,96,96
r5dn.xlarge,10.8,43.3,2543.79,4,96
r5n.12xlarge,129.1,519.6,2143.79,48,96
r5n.16xlarge,172.1,692.9,2143.79,64,96
r5n.24xlarge,258.1,1039.3,2143.79,96,96
r5n.2xlarge,21.5,86.6,2143.79,8,96
r5n.4xlarge,43.0,173.2,2143.79,16,96
r5n.8xlarge,86.0,346.4,2143.79,32,96
r5n.large,5.4,21.7,2143.79,2,96
r5n.metal,258.1,1039.3,2143.79,96,96
r5n.xlarge,10.8,43.3,2143.79,4,96
r6g.12xlarge,112.4,367.5,1688.46,48,64
r6g.12xlarge.elasticsearch,112.4,367.5,1688.46,48,64
r6g.16xlarge,149.8,490.0,1688.46,64,64
r6g.2xlarge,18.7,61.2,1688.46,8,64
r6g.2xlarge.elasticsearch,18.7,61.2,1688.46,8,64
r6g.4xlarge,37.5,122.5,1688.46,16,64
r6g.4xlarge.elasticsearch,37.5,122.5,1688.46,16,64
r6g.8xlarge,74.9,245.0,1688.46,32,64
r6g.8xlarge.elasticsearch,74.9,245.0,1688.46,32,64
r6g.large,4.7,15.3,1688.46,2,64
r6g.large.elasticsearch,4.7,15.3,1688.46,2,64
r6g.medium,2.3,7.7,1688.46,1,64
r6g.metal,149.8,490.0,1688.46,64,64
r6g.xlarge,9.4,30.6,1688.46,4,64
r6g.xlarge.elasticsearch,9.4,30.6,1688.46,4,64
r6gd.12xlarge,112.4,367.5,1888.46,48,64
r6gd.12xlarge.elasticsearch,112.4,367.5,1888.46,48,64
r6gd.16xlarge,149.8,490.0,1888.46,64,64
r6gd.16xlarge.elasticsearch,149.8,490.0,1888.46,64,64
r6gd.2xlarge,18.7,61.2,1888.46,8,64
r6gd.2xlarge.elasticsearch,18.7,61.2,1888.46,8,64
r6gd.4xlarge,37.5,122.5,1888.46,16,64
r6gd.4xlarge.elasticsearch,37.5,122.5,1888.46,16,64
r6gd.8xlarge,74.9,245.0,1888.46,32,64
r6gd.8xlarge.elasticsearch,74.9,245.0,1888.46,32,64
r6gd.large,4.7,15.3,1888.46,2,64
r6gd.large.elasticsearch,4.7,15.3,1888.46,2,64
r6gd.medium,2.3,7.7,1888.46,1,64
r6gd.metal,149.8,490.0,1888.46,64,64
r6gd.xlarge,9.4,30.6,1888.46,4,64
r6gd.xlarge.elasticsearch,9.4,30.6,1888.46,4,64
ra3.16xlarge,153.7,511.1,2110.79,48,48
ra3.4xlarge,38.4,127.8,2110.79,12,48
t1.micro,2.4,8.8,1277.67,1,32
t2.2xlarge,16.7,56.9,1477.54,8,72
t2.large,4.2,14.2,1477.54,2,72
t2.medium,4.0,14.1,1477.54,2,48
t2.medium.elasticsearch,4.0,14.1,1477.54,2,48
t2.micro,1.8,6.4,1477.54,1,48
t2.micro.elasticsearch,1.8,6.4,1477.54,1,48
t2.nano,1.7,6.1,1477.54,1,48
t2.small,2.0,7.0,1477.54,1,48
t2.small.elasticsearch,2.0,7.0,1477.54,1,48
t2.xlarge,8.4,28.4,1477.54,4,72
t3.2xlarge,17.6,79.8,1610.79,8,96
t3.large,4.4,20.0,1610.79,2,96
t3.medium,3.8,16.0,1610.79,2,96
t3.medium.elasticsearch,3.8,16.0,1610.79,2,96
t3.micro,3.4,13.0,1610.79,2,96
t3.nano,3.3,12.5,1610.79,2,96
t3.small,3.5,14.0,1610.79,2,96
t3.small.elasticsearch,3.5,14.0,1610.79,2,96
t3.xlarge,8.8,39.9,1610.79,4,96
t3a.2xlarge,16.9,59.8,1610.79,8,96
t3a.large,4.2,15.0,1610.79,2,96
t3a.medium,3.4,12.6,1610.79,2,96
t3a.micro,2.8,10.8,1610.79,2,96
t3a.nano,2.7,10.5,1610.79,2,96
t3a.small,3.0,11.4,1610.79,2,96
t3a.xlarge,8.5,29.9,1610.79,4,96
t4g.2xlarge,12.3,42.0,1333.12,8,64
t4g.large,3.1,10.5,1333.12,2,64
t4g.medium,2.3,8.1,1333.12,2,64
t4g.micro,1.7,6.3,1333.12,2,64
t4g.nano,1.6,6.0,1333.12,2,64
t4g.small,1.9,6.9,1333.12,2,64
t4g.xlarge,6.2,21.0,1333.12,4,64
u-12tb1.metal,2880.8,8951.2,35789.79,448,448
u-18tb1.metal,4109.6,12637.6,35789.79,448,448
u-24tb1.metal,5338.4,16324.0,35789.79,448,448
u-6tb1.metal,1652.0,5264.8,35789.79,448,448
u-9tb1.metal,2266.4,7108.0,35789.79,448,448
x1.16xlarge,291.4,936.4,4187.21,64,128
x1.32xlarge,582.8,1872.9,4187.21,128,128
x1e.16xlarge,486.6,1522.0,6896.62,64,128
x1e.2xlarge,60.8,190.3,6896.62,8,128
x1e.32xlarge,973.2,3044.1,6896.62,128,128
x1e.4xlarge,121.6,380.5,6896.62,16,128
x1e.8xlarge,243.3,761.0,6896.62,32,128
x1e.xlarge,30.4,95.1,6896.62,4,128
x2gd.12xlarge,189.2,597.9,2599.12,48,64
x2gd.16xlarge,252.2,797.2,2599.12,64,64
x2gd.2xlarge,31.5,99.6,2599.12,8,64
x2gd.4xlarge,63.1,199.3,2599.12,16,64
x2gd.8xlarge,126.1,398.6,2599.12,32,64
x2gd.large,7.9,24.9,2599.12,2,64
x2gd.medium,3.9,12.5,2599.12,1,64
x2gd.metal,252.2,797.2,2599.12,64,64
x2gd.xlarge,15.8,49.8,2599.12,4,64
z1d.12xlarge,194.0,793.0,1810.79,48,48
z1d.2xlarge,32.3,132.2,1810.79,8,48
z1d.3xlarge,48.5,198.3,1810.79,12,48
z1d.6xlarge,97.0,396.5,1810.79,24,48
z1d.large,8.1,33.0,1810.79,2,48
z1d.metal,194.0,793.0,1810.79,48,48
z1d.xlarge,16.2,66.1,1810.79,4,48
